CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,962,155,918,8.46,347.70,-35.65,65,346.80,349.40,65,"24,600.00",65,390.10,405.15,65,13.25,398.80,10.30,882,195,"1,518",
,80,19,167,8.59,328.65,-38.35,65,320.65,324.90,130,"24,650.00",65,412.00,430.95,65,-22.50,400.00,9.70,74,59,101,
,"2,822","1,511","2,427",8.38,297.30,-41.15,65,297.75,300.55,65,"24,700.00",65,442.85,450.85,65,9.00,445.85,10.20,"2,022",488,"2,226",
,43,-4,48,8.46,278.50,-32.75,65,275.60,279.35,130,"24,750.00",195,466.65,487.45,195,-,-,14.05,-,-,19,
,"1,852",22,"1,040",8.42,256.05,-31.55,65,254.60,257.00,65,"24,800.00",65,495.15,510.20,65,20.25,504.60,10.30,349,-11,"2,175",
,86,-8,57,8.64,245.00,-12.40,65,234.40,237.75,130,"24,850.00",65,524.40,542.10,65,-31.35,499.25,9.43,5,3,27,
,"1,347",81,522,8.36,215.75,-29.65,130,215.35,218.60,130,"24,900.00",65,553.65,571.50,65,34.15,560.60,10.24,76,-3,"1,183",
,212,-3,167,8.38,199.05,-21.70,65,197.70,200.80,130,"24,950.00",195,584.10,606.65,195,-123.60,577.60,9.88,1,-,61,
,"14,785","1,444","8,244",8.40,183.15,-24.20,65,183.20,184.85,130,"25,000.00",65,620.25,628.00,65,25.55,628.00,10.38,"1,573",360,"8,107",
,21,-,-,8.88,-,-,455,148.20,261.30,"1,690","25,050.00",195,647.35,672.00,195,-,-,12.53,-,-,5,
,"1,757",298,893,8.40,153.35,-19.55,65,152.05,154.55,65,"25,100.00",65,688.80,702.95,65,-103.40,693.10,10.38,92,19,93,
,-,-,-,-,-,-,"1,560",120.95,240.25,"3,965","25,150.00",195,717.05,"1,177.20",260,-,-,11.60,-,-,5,
,"3,247",134,"2,304",8.35,125.95,-18.65,65,126.05,127.95,65,"25,200.00",65,751.20,775.90,65,34.75,779.85,10.90,42,7,152,
,-,-,-,-,-,-,-,-,216.95,"3,380","25,250.00","1,690",637.75,"1,227.20",260,-,-,15.15,-,-,2,
,-,-,-,-,-,-,-,-,208.45,"1,690","25,300.00",195,831.40,856.40,195,38.65,849.00,10.85,5,-1,10,
,-,-,-,-,-,-,780,69.25,199.80,"1,690","25,350.00",65,868.80,897.45,195,-109.40,865.70,10.23,2,1,3,
,"4,600",378,"1,460",8.40,85.70,-13.90,65,84.45,87.00,65,"25,400.00",195,911.40,935.05,65,21.80,906.80,10.34,4,-1,12,
,-,-,-,-,-,-,390,72.50,181.50,"3,380","25,450.00",65,694.40,"1,371.00",195,-,-,16.38,-,-,2,
,"15,017",876,"7,774",8.48,71.35,-11.70,65,70.70,72.00,130,"25,500.00",65,997.85,"1,009.95",65,40.00,"1,006.30",11.09,231,121,"2,879",
,-,-,-,-,-,-,325,58.25,165.60,"4,160","25,550.00","1,690",855.65,"1,461.50",195,-,-,16.88,-,-,2,
,"3,241",172,881,8.50,58.00,-8.85,65,57.05,59.15,65,"25,600.00",325,897.45,"1,407.50",195,-,-,12.19,-,-,2,
,150,-94,179,8.54,52.85,-9.80,65,48.70,54.70,65,"25,650.00",910,940.70,"1,151.55",195,-,-,12.34,-,-,2,
,"3,067",466,"2,095",8.62,48.80,-5.75,65,47.15,49.15,65,"25,700.00",455,"1,031.90","1,260.00",65,-,-,13.62,-,-,5,
,"1,859",-171,817,8.58,42.85,-7.05,65,42.35,44.35,65,"25,750.00",-,-,"1,730.20",325,-,-,15.15,-,-,4,
,-,-,-,-,-,-,-,-,130.70,"5,460","25,800.00","1,690","1,104.15","1,736.85","1,690",-,-,11.77,-,-,6,
,-,-,-,-,-,-,-,-,124.45,"3,380","25,850.00","1,690","1,144.35","1,835.40","1,690",-,-,14.61,-,-,1,
,-,-,-,-,-,-,-,-,118.45,"3,380","25,900.00","1,690","1,214.15","1,926.05","1,690",-,-,14.57,-,-,1,
,-,-,-,-,-,-,-,-,112.70,"3,380","25,950.00","1,690","1,229.15","1,884.30","1,690",-,-,-,-,-,-,
,"18,444","1,728","6,987",9.02,29.40,-3.75,325,29.40,29.75,65,"26,000.00",195,"1,443.55","1,461.35",65,34.65,"1,450.00",12.50,428,227,"1,358",
,-,-,-,-,-,-,-,-,101.85,"6,760","26,050.00","1,690","1,330.45","2,024.30","1,690",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,560",5.00,96.75,"3,380","26,100.00","1,170","1,362.75","2,075.50","1,690",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,560",2.50,91.90,"3,380","26,150.00","1,690","1,420.10","2,121.15","1,690",-,-,14.79,-,-,2,
,-,-,-,-,-,-,650,1.00,87.20,"3,380","26,200.00","1,495","1,444.10","2,239.60","1,690",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,560",2.00,82.75,"3,380","26,250.00","1,170","1,497.10","2,160.85","1,690",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,560",3.00,78.45,"3,380","26,300.00","1,170","1,543.80","2,244.55","1,690",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,560",3.00,74.35,"3,380","26,350.00","1,170","1,588.90","2,308.35","1,690",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,560",3.00,70.45,"2,925","26,400.00","3,380","1,616.10","2,456.35","1,690",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,560",3.00,66.70,"2,600","26,450.00","1,690","1,629.55","2,511.20","1,690",-,-,-,-,-,-,
,"2,847",428,"2,132",9.80,13.75,-1.25,260,13.50,14.00,520,"26,500.00",195,"1,918.20","1,941.10",65,54.90,"1,910.00",13.69,27,10,97,
,-,-,-,-,-,-,"1,560",2.00,59.70,"3,380","26,550.00","1,170","1,769.70","2,396.65","1,690",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,560",2.00,56.45,"4,030","26,600.00","1,170","1,814.95","2,449.00","1,690",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,560",2.00,53.35,"3,380","26,650.00","1,495","1,860.10","2,498.15","1,690",-,-,-,-,-,-,
,1,-,-,13.27,-,-,"1,560",2.00,50.40,"3,380","26,700.00","1,170","1,905.10","2,553.70","1,690",-,-,-,-,-,-,
,-,-,-,-,-,-,260,5.00,47.55,"3,380","26,750.00","1,495","1,989.80","2,591.20","1,690",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,560",2.00,44.90,"4,030","26,800.00","1,690","1,956.60","2,722.60","1,690",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,560",2.00,42.35,"3,380","26,850.00","1,690","2,031.65","2,745.40","1,690",-,-,-,-,-,-,
,258,155,292,10.66,9.10,-0.25,130,7.55,9.60,520,"26,900.00","3,380","2,108.35","2,770.05","1,690",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,560",4.00,37.65,"3,380","26,950.00","1,170","2,131.05","2,808.45","1,690",-,-,-,-,-,-,
,"3,376",174,"1,772",10.68,7.35,-0.05,"1,300",6.65,7.35,845,"27,000.00",130,"2,396.70","2,427.20",65,33.65,"2,420.00",17.24,15,1,422,
,-,-,-,-,-,-,-,-,33.40,"4,680","27,050.00","1,690","2,221.45","2,890.50","1,690",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,560",1.50,31.45,"3,380","27,100.00","1,690","2,266.75","2,936.90","1,690",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,29.20,"3,380","27,150.00","1,690","2,311.90","2,992.10","1,690",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,26.25,"3,380","27,200.00","1,690","2,357.05","3,033.50","1,690",-,-,-,-,-,-,
