CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,130,800.15,846.15,195,"24,100.00",-,-,320.50,325,-,-,-,-,-,-,
,-,-,-,-,-,-,390,747.65,908.35,585,"24,150.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,130,736.30,771.05,195,"24,200.00",-,-,345.15,260,-,-,-,-,-,-,
,-,-,-,-,-,-,325,682.30,809.75,455,"24,250.00",-,-,357.90,260,-,-,-,-,-,-,
,15,-,83,8.67,702.05,-288.10,260,679.40,694.35,130,"24,300.00",-,-,370.95,260,-,-,-,-,-,-,
,-,-,-,-,-,-,325,626.35,750.35,650,"24,350.00",-,-,384.35,260,-,-,-,-,-,-,
,-,-,-,-,-,-,130,606.85,645.40,195,"24,400.00",-,-,387.20,325,-,-,-,-,-,-,
,-,-,-,-,-,-,325,559.85,631.15,195,"24,450.00",-,-,-,-,-,-,-,-,-,-,
,171,-,252,8.41,565.00,-317.85,65,565.00,574.55,65,"24,500.00",-,-,409.00,"1,625",-275.35,409.00,11.50,4,-,3,
,-,-,-,-,-,-,130,510.10,572.15,390,"24,550.00",-,-,440.75,195,-,-,-,-,-,-,
,-,-,-,-,-,-,130,484.90,540.85,65,"24,600.00",-,-,455.60,195,-,-,-,-,-,-,
,-,-,-,-,-,-,585,447.95,530.05,910,"24,650.00",-,-,471.75,130,-,-,-,-,-,-,
,14,-,24,8.92,477.95,-305.45,65,441.50,463.80,130,"24,700.00",-,-,489.40,130,-,-,-,-,-,-,
,-,-,-,-,-,-,130,427.30,440.15,130,"24,750.00",-,-,"1,034.05",975,-,-,-,-,-,-,
,-,-,-,-,-,-,130,403.10,425.10,130,"24,800.00",-,-,"1,061.70",455,-,-,-,-,-,-,
,-,-,-,-,-,-,130,379.65,412.15,390,"24,850.00",-,-,"1,129.40",455,-,-,-,-,-,-,
,-,-,-,-,-,-,130,357.20,399.20,390,"24,900.00",-,-,638.30,455,-,-,-,-,-,-,
,-,-,-,-,-,-,130,335.65,386.55,390,"24,950.00",-,-,"1,189.95",975,-,-,-,-,-,-,
,475,-,632,8.45,316.80,-332.30,65,316.20,320.00,195,"25,000.00",65,620.00,660.90,65,-306.75,636.40,11.20,18,-,14,
,-,-,-,-,-,-,130,295.10,362.15,260,"25,050.00",195,628.45,"1,281.50",975,-,-,-,-,-,-,
,-,-,-,-,-,-,130,275.80,350.30,390,"25,100.00",195,651.40,774.60,325,-,-,-,-,-,-,
,-,-,-,-,-,-,130,257.95,338.85,260,"25,150.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,130,240.60,327.55,325,"25,200.00",195,723.15,"1,449.90",260,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,322.80,650,"25,250.00",195,748.30,825.35,195,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,311.95,650,"25,300.00",195,773.95,"1,554.45",260,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,295.20,"1,040","25,350.00",195,800.00,"1,549.85",260,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,284.80,65,"25,400.00",195,853.30,"1,603.30",260,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,275.20,325,"25,450.00",195,872.05,"1,635.70","1,690",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,262.00,780,"25,500.00",195,915.75,"1,012.20",195,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,252.75,650,"25,550.00",195,951.25,"1,740.10","1,690",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,243.70,650,"25,600.00",195,988.10,"1,791.60",260,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,234.90,650,"25,650.00",195,"1,021.15","1,844.35",195,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,226.40,650,"25,700.00",195,"1,056.50","1,897.85","1,690",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,218.10,780,"25,750.00",195,"1,095.35","1,950.20","1,690",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,210.10,780,"25,800.00",195,"1,134.90","2,055.15","1,690",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,202.25,780,"25,850.00",195,"1,175.95","2,058.60",195,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,196.50,780,"25,900.00",195,"1,217.60","2,108.55",195,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,187.30,780,"25,950.00",195,"1,259.95","2,160.20",195,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,180.85,"1,300","26,000.00",195,"1,302.45","1,393.00",65,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,173.95,780,"26,050.00",195,"1,345.70","2,305.25",195,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,167.35,780,"26,100.00",195,"1,389.25","2,318.65",195,-,-,-,-,-,-,
